datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;ohne-sperrvermerk;mit-sperrvermerk;A3;wahlberechtigte;B;waehler;ungueltig-erststimme;gueltig-erststimme;ungueltig-zweitstimmen;gueltig-zweitstimmen;erststimme-cdu;zweitstimme-cdu;erststimme-spd;zweitstimme-spd;erststimme-afd;zweitstimme-afd;erststimme-fdp;zweitstimme-fdp;erststimme-gruene;zweitstimme-gruene;erststimme-linke;zweitstimme-linke;erststimme-parteimenschumwelttierschutz;zweitstimme-parteimenschumwelttierschutz;D8;F8;erststimme-fw;zweitstimme-fw;D10;F10;erststimme-npd;zweitstimme-npd;D12;F12;D13;F13;D14;F14;D15;F15;erststimme-basis;zweitstimme-basis;erststimme-buendnisc;zweitstimme-buendnisc;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;erststimme-volt;zweitstimme-volt;D24;F24
26.09.21;Wahl zum Deutschen Bundestag;6439001;;Gemeinde Aarbergen;8;8;2519;2039;0;4558;3507;1934;74;3433;69;3438;937;779;1103;1024;329;363;314;405;377;404;115;128;0;75;0;33;156;87;0;20;0;3;0;1;0;5;0;0;0;1;69;71;11;5;0;1;0;1;0;4;0;6;0;9;0;13;22;0
26.09.21;Wahl zum Deutschen Bundestag;6439002;;Kreis- und Kurstadt Bad Schwalbach;14;14;4539;3178;0;7717;5862;3056;103;5759;73;5789;1449;1254;1768;1643;538;587;573;758;915;857;154;198;0;107;0;51;204;117;0;16;0;5;0;5;0;10;0;0;0;2;122;110;12;4;0;1;0;1;0;6;0;11;0;18;0;28;24;0
26.09.21;Wahl zum Deutschen Bundestag;6439003;;Stadt Eltville am Rhein;16;16;6483;6278;0;12761;10409;6006;156;10253;101;10308;3177;2885;2662;2429;546;614;1103;1492;2040;1934;222;324;0;128;0;56;324;130;0;27;0;9;0;12;0;9;0;0;0;2;149;143;9;6;0;3;0;2;0;13;0;13;0;24;0;53;21;0
26.09.21;Wahl zum Deutschen Bundestag;6439004;;Hochschulstadt Geisenheim;15;15;4637;4177;0;8814;6847;3988;119;6728;87;6760;1811;1598;2045;1802;494;525;669;905;1042;1111;186;252;0;121;0;58;352;145;0;27;0;11;0;9;0;8;0;0;0;4;113;105;9;4;0;3;0;0;0;11;0;13;0;20;0;28;7;0
26.09.21;Wahl zum Deutschen Bundestag;6439005;;Gemeinde Heidenrod;19;19;3589;2440;0;6029;4931;2346;82;4849;64;4867;1316;1086;1398;1351;592;608;454;606;500;507;111;142;0;93;0;49;355;220;0;23;0;8;0;4;0;15;0;0;0;1;104;104;4;2;0;3;0;2;0;4;0;9;0;7;0;23;15;0
26.09.21;Wahl zum Deutschen Bundestag;6439006;;Gemeinde Hohenstein;8;8;2754;2129;0;4883;4034;2097;64;3970;44;3990;1108;873;1356;1200;335;369;384;579;454;485;92;139;0;85;0;35;145;89;0;13;0;7;0;4;0;5;0;0;0;0;72;76;7;3;0;0;0;1;0;6;0;8;0;1;0;12;17;0
26.09.21;Wahl zum Deutschen Bundestag;6439007;;Gemeinde Huenstetten;15;15;4483;3832;0;8315;6991;3710;98;6893;73;6918;1903;1634;2030;1819;550;593;748;1019;1090;1084;188;228;0;113;0;75;216;96;0;37;0;11;0;3;0;6;0;0;0;1;114;100;39;23;0;3;0;0;0;12;0;5;0;13;0;43;15;0
26.09.21;Wahl zum Deutschen Bundestag;6439008;;Hochschulstadt Idstein;23;23;9693;8862;0;18555;14918;8518;146;14772;118;14800;3961;3454;4112;3608;895;966;1743;2270;2840;2894;404;501;0;225;0;145;509;251;0;59;0;8;0;14;0;15;0;4;0;1;226;204;40;17;0;4;0;6;0;18;0;20;0;51;0;65;42;0
26.09.21;Wahl zum Deutschen Bundestag;6439009;;Gemeinde Kiedrich;5;5;1489;1662;0;3151;2578;1603;39;2539;24;2554;682;607;900;747;123;140;250;352;403;465;70;77;0;36;0;16;74;41;0;8;0;3;0;2;0;2;0;0;0;1;31;28;1;1;0;1;0;6;0;2;0;3;0;8;0;8;5;0
26.09.21;Wahl zum Deutschen Bundestag;6439010;;Stadt Lorch;8;8;1351;1292;0;2643;2091;1235;35;2056;25;2066;679;614;598;554;148;171;135;210;216;247;71;82;0;33;0;17;182;91;0;5;0;2;0;5;0;1;0;1;0;0;20;14;3;1;0;1;0;0;0;1;0;5;0;8;0;3;4;0
26.09.21;Wahl zum Deutschen Bundestag;6439011;;Gemeinde Niedernhausen;10;10;5230;5614;0;10844;8861;5387;94;8767;66;8795;2514;2276;2237;2052;570;640;1497;1498;1367;1452;231;283;0;123;0;58;172;100;0;23;0;10;0;14;0;10;0;3;0;4;144;133;17;13;0;3;0;5;0;7;0;18;0;23;0;47;18;0
26.09.21;Wahl zum Deutschen Bundestag;6439012;;Stadt Oestrich-Winkel;13;13;4256;4764;0;9020;7284;4564;97;7187;64;7220;2020;1906;2239;1953;438;458;776;1043;1063;1124;167;216;0;115;0;55;364;147;0;29;0;4;0;2;0;6;0;4;0;4;104;80;8;9;0;1;0;0;0;9;0;8;0;13;0;34;8;0
26.09.21;Wahl zum Deutschen Bundestag;6439013;;Stadt Ruedesheim am Rhein;14;14;4008;2620;0;6628;4882;2512;96;4786;89;4793;1396;1243;1293;1221;404;435;440;613;611;654;116;153;0;93;0;44;447;169;0;25;0;4;0;5;0;5;0;3;0;1;71;70;4;2;0;4;0;1;0;4;0;7;0;19;0;18;4;0
26.09.21;Wahl zum Deutschen Bundestag;6439014;;Gemeinde Schlangenbad;10;10;2638;2122;0;4760;3895;2031;43;3852;28;3867;1174;1031;950;884;323;343;386;537;699;666;114;134;0;49;0;32;115;52;0;14;0;2;0;3;0;2;0;0;0;1;76;64;4;4;0;2;0;4;0;7;0;4;0;14;0;18;11;0
26.09.21;Wahl zum Deutschen Bundestag;6439015;;Stadt Taunusstein;37;37;11388;10228;0;21616;16779;9787;200;16579;138;16641;4617;4012;5182;4291;1454;1564;1728;2356;2230;2523;458;571;0;250;0;118;499;356;0;73;0;20;0;19;0;25;0;4;0;2;235;202;60;54;0;4;0;10;0;21;0;23;0;57;0;86;116;0
26.09.21;Wahl zum Deutschen Bundestag;6439016;;Gemeinde Waldems;8;8;2277;1842;0;4119;3440;1779;29;3411;26;3414;903;744;1066;960;301;341;350;451;520;546;84;101;0;70;0;37;121;62;0;16;0;3;0;4;0;2;0;0;0;0;52;45;8;3;0;1;0;0;0;6;0;3;0;4;0;15;6;0
